page_num,list_page_url,title,url,published_date,category_raw,published_dt
4,https://beritamalang.media/category/berita/page/4/,PT Telkomsel Beri Penghargaan ke Satreskrim Polres Batu atas Pengungkapan Vandalisme Jaringan,https://beritamalang.media/pt-telkomsel-beri-penghargaan-ke-satreskrim-polres-batu-atas-pengungkapan-vandalisme-jaringan/,"April 15, 2026",Berita,2026-04-15
4,https://beritamalang.media/category/berita/page/4/,"Satresnarkoba Polres Batu Ringkus Pengedar dengan 40 Butir Pil Ekstasi di Oro-Oro Ombo, Kota Batu",https://beritamalang.media/satresnarkoba-polres-batu-ringkus-pengedar-dengan-40-butir-pil-ekstasi-di-oro-oro-ombo-kota-batu/,"April 15, 2026","Berita,,,Kriminal",2026-04-15
4,https://beritamalang.media/category/berita/page/4/,Test,https://beritamalang.media/test/,"April 14, 2026",Berita,2026-04-14
5,https://beritamalang.media/category/berita/page/5/,"Kelangkaan Gas Melon 3 Kg Dikeluhkan Warga Desa Junrejo, Pemkot Batu Pastikan Stok Kembali Normal",https://beritamalang.media/kelangkaan-gas-melon-3-kg-dikeluhkan-warga-desa-junrejo-pemkot-batu-pastikan-stok-kembali-normal/,"April 13, 2026",Berita,2026-04-13
5,https://beritamalang.media/category/berita/page/5/,"Workshop Media Campaign KIM Kota Batu, Langkah Awal Menuju Komunikasi Publik yang Lebih Baik",https://beritamalang.media/workshop-media-campaign-kim-kota-batu-langkah-awal-menuju-komunikasi-publik-yang-lebih-baik/,"April 9, 2026",Berita,2026-04-09
5,https://beritamalang.media/category/berita/page/5/,"Mikutopia Berinovasi, Tambah Wahana Baru untuk Wisatawan",https://beritamalang.media/mikutopia-berinovasi-tambah-wahana-baru-untuk-wisatawan/,"April 6, 2026","Berita,,,Kuliner,,,Wisata",2026-04-06
5,https://beritamalang.media/category/berita/page/5/,Iklan Hari Raya Idul Fitri,https://beritamalang.media/iklan-hari-raya-idul-fitri-6/,"April 3, 2026","Berita,,,Ragam",2026-04-03
5,https://beritamalang.media/category/berita/page/5/,Iklan Hari Raya Idul Fitri,https://beritamalang.media/iklan-hari-raya-idul-fitri-5/,"April 3, 2026","Berita,,,Ragam",2026-04-03
5,https://beritamalang.media/category/berita/page/5/,Iklan Hari Raya Idul Fitri,https://beritamalang.media/iklan-hari-raya-idul-fitri-4/,"April 3, 2026","Berita,,,Ragam",2026-04-03
5,https://beritamalang.media/category/berita/page/5/,Iklan Hari Raya Idul Fitri,https://beritamalang.media/iklan-hari-raya-idul-fitri-3/,"April 3, 2026","Berita,,,Ragam",2026-04-03
5,https://beritamalang.media/category/berita/page/5/,"Kontroversi Pemulangan Pasien RS Hikmah Makassar, Nyawa Melayang Kurang dari 22 Jam",https://beritamalang.media/kontroversi-pemulangan-pasien-rs-hikmah-makassar-nyawa-melayang-kurang-dari-22-jam/,"April 2, 2026",Berita,2026-04-02
5,https://beritamalang.media/category/berita/page/5/,Personel Polres Batu Evakuasi Penemuan Jenazah di Bawah Jembatan Cangar Kota Batu,https://beritamalang.media/personel-polres-batu-evakuasi-penemuan-jenazah-di-bawah-jembatan-cangar-kota-batu/,"April 1, 2026",Berita,2026-04-01
5,https://beritamalang.media/category/berita/page/5/,"Sindikat Pengedar Uang Palsu di Batu Diringkus Polisi, Gunakan Modus Kenalan di MiChat",https://beritamalang.media/sindikat-pengedar-uang-palsu-di-batu-diringkus-polisi-gunakan-modus-kenalan-di-michat/,"March 31, 2026","Berita,,,Kriminal",2026-03-31
6,https://beritamalang.media/category/berita/page/6/,Kolaborasi Seru: Selecta dan Mikutopia Naikkan Pamor Wisata,https://beritamalang.media/kolaborasi-seru-selecta-dan-mikutopia-naikkan-pamor-wisata/,"March 28, 2026","Berita,,,Kuliner,,,Wisata",2026-03-28
6,https://beritamalang.media/category/berita/page/6/,Mengakhiri dengan Damai: 10 Refleksi tentang Perpisahan yang Bijak,https://beritamalang.media/mengakhiri-dengan-damai-10-refleksi-tentang-perpisahan-yang-bijak/,"March 25, 2026","Berita,,,Ragam",2026-03-25
6,https://beritamalang.media/category/berita/page/6/,"Pantau Objek Wisata, Kapolres Batu Pastikan Keamanan Terjaga",https://beritamalang.media/pantau-objek-wisata-kapolres-batu-pastikan-keamanan-terjaga/,"March 25, 2026","Berita,,,Kuliner,,,Wisata",2026-03-25
6,https://beritamalang.media/category/berita/page/6/,"Kecelakaan Maut di Jalan Rajekwesi, Satu Orang Tewas",https://beritamalang.media/kecelakaan-maut-di-jalan-rajekwesi-satu-orang-tewas/,"March 25, 2026",Berita,2026-03-25
6,https://beritamalang.media/category/berita/page/6/,"Jamin Kelancaran Mudik 2026, Dirlantas Polda Jatim Tinjau Kota Batu",https://beritamalang.media/jamin-kelancaran-mudik-2026-dirlantas-polda-jatim-tinjau-kota-batu/,"March 24, 2026",Berita,2026-03-24
6,https://beritamalang.media/category/berita/page/6/,Patroli Sidik Satlantas Polres Batu Berhasil Bantu Mobil Mogok,https://beritamalang.media/patroli-sidik-satlantas-polres-batu-berhasil-bantu-mobil-mogok/,"March 24, 2026",Berita,2026-03-24
