title,url,published_date,relative_date,date_source,page_num,list_page_url,source_category,excerpt,image_url,published_dt
Swasembada Gula dan Rapuhnya Akar Tebu Kabupaten Malang,https://timesindonesia.co.id/kopi-times/590993/swasembada-gula-dan-rapuhnya-akar-tebu-kabupaten-malang,2026-05-19,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Kopi TIMES,Dugaan korupsi bongkar ratoon Rp23 miliar di Malang mengancam target swasembada gula nasional. Evaluasi tata kelola dan edukasi petani mendesak dilakukan.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/19/yatimul-ainun-60zcfw1h.webp,2026-05-19
"Masuk Musim Kemarau, Produksi Padi di Kabupaten Malang Dipastikan Masih Aman",https://timesindonesia.co.id/peristiwa-daerah/590983/masuk-musim-kemarau-produksi-padi-di-kabupaten-malang-dipastikan-masih-aman,2026-05-19,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Peristiwa Daerah,"Bayang-bayang kekeringan tahun 2026 menghantui para petani di berbagai daerah. Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) sebelumnya memprediksi sejumlah wilayah di Indonesia mulai memasuki musim kemarau disertai potensi dampak El Nino ya",https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/19/hamparan-pad-n037naiq.webp,2026-05-19
Produksi Garam Tunnel Sumberoto Kabupaten Malang Tembus 8 Ton per Bulan,https://timesindonesia.co.id/peristiwa-daerah/590971/produksi-garam-tunnel-sumberoto-kabupaten-malang-tembus-8-ton-per-bulan,2026-05-19,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Peristiwa Daerah,"Inovasi produksi garam menggunakan metode tunnel di pesisir selatan Kabupaten Malang mulai menunjukkan hasil signifikan. Di Desa Sumberoto, Kecamatan Donomulyo produktivitas garam tunnel kini meningkat tajam hingga mencapai 8 ton per bulan.",https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/19/bupati-malang-f4oufx0k.webp,2026-05-19
"Kuatkan Ketahanan Pangan, 100 Petani di Kabupaten Malang Dapat Bantuan Pupuk hingga Cangkul dari TNI",https://timesindonesia.co.id/peristiwa-daerah/590967/kuatkan-ketahanan-pangan-100-petani-di-kabupaten-malang-dapat-bantuan-pupuk-hingga-cangkul-dari-tni,2026-05-19,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Peristiwa Daerah,Upaya memperkuat ketahanan pangan nasional terus dilakukan melalui kolaborasi antara pemerintah daerah dan TNI. Sebanyak 100 petani di Kabupaten Malang menerima bantuan pupuk dan alat pertanian dari TNI dalam kegiatan yang digelar di Kantor Badan Per,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/19/bantuan-pupuk-ignd19at.webp,2026-05-19
Grib Jaya Kabupaten Malang Dukung Pak Dur dalam Polemik Portal Bendungan Lahor,https://timesindonesia.co.id/peristiwa-daerah/590959/grib-jaya-kabupaten-malang-dukung-pak-dur-dalam-polemik-portal-bendungan-lahor,2026-05-19,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Peristiwa Daerah,GRIB JAYA Kabupaten Malang menyatakan dukungan kepada Pak Dur yang menjadi tersangka dalam polemik portal Bendungan Lahor. Organisasi ini menilai kritik warga merupakan bentuk kontrol sosial.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/19/pak-dur-yiiarl9q.webp,2026-05-19
"Memasuki Triwulan 2, Pendapatan Parkir di Kabupaten Malang Tercatat Rp1,7 Miliar",https://timesindonesia.co.id/pemerintahan/590863/memasuki-triwulan-2-pendapatan-parkir-di-kabupaten-malang-tercatat-rp17-miliar,2026-05-18,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Pemerintahan,"Dinas Perhubungan (Dishub) Kabupaten Malang mencatatkan pendapatan retribusi parkir sebesar lebih dari Rp1,7 miliar, memasuki triwulan kedua tahun 2026 ini.",https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/18/petugas-dishub-kabupaten-malang-oczvmn4i.webp,2026-05-18
Relawan Ambulans di Kabupaten Malang Butuh Fasilitasi Penguatan dan Kemudahan Kerja,https://timesindonesia.co.id/peristiwa-daerah/590715/relawan-ambulans-di-kabupaten-malang-butuh-fasilitasi-penguatan-dan-kemudahan-kerja,2026-05-17,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Peristiwa Daerah,"Informasi aturan-aturan kebijakan baru terkait penanganan pasien kadaruratan, dan apa yang harus dipenuhi tim ambulans, penting untuk didapatkan para relawan.",https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/17/kompetensi-supir-ambulans-kabupaten-malang-qj5slpl5.webp,2026-05-17
Menguji Akhir Keputusan dari Calon Kuat Ketua DPC PKB Kabupaten Malang,https://timesindonesia.co.id/politik/590704/menguji-akhir-keputusan-dari-calon-kuat-ketua-dpc-pkb-kabupaten-malang,2026-05-17,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Politik,Rumor di kalangan kader internal belakangan berfokus pada tiga nama calon kuat yang digadang-gadang layak memimpin DPC PKB Kabupaten Malang. Siapa saja?,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/17/pkb-kabupaten-malang-t9a3pube.webp,2026-05-17
"Kandaskan PMII Kabupaten Malang, Perisai Doom Kota Malang Juara Fun Game Kompetisi Domino Demokrasi 2026",https://timesindonesia.co.id/olahraga/590584/kandaskan-pmii-kabupaten-malang-perisai-doom-kota-malang-juara-fun-game-kompetisi-domino-demokrasi-2026,2026-05-16,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Olahraga,Perisai Doom Kota Malang meraih gelar juara kategori Fun Game Kompetisi Domino Demokrasi 2026 setelah mengalahkan PMII Kabupaten Malang di final yang berlangsung di Pendopo Kabupaten Malang.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/16/juara-fun-games-domino-demokrasi-2026-2-8rpylbjj.webp,2026-05-16
PDIP Kota Malang Melaju ke Final Kompetisi Domino Demokrasi 2026 Usai Tekuk Gerindra Kabupaten Malang,https://timesindonesia.co.id/olahraga/590581/pdip-kota-malang-melaju-ke-final-kompetisi-domino-demokrasi-2026-usai-tekuk-gerindra-kabupaten-malang,2026-05-16,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Olahraga,PDIP Kota Malang memastikan tiket final Kompetisi Domino Demokrasi 2026 setelah mengalahkan Gerindra Kabupaten Malang dalam duel tiga set yang berlangsung sengit di Pendopo Kabupaten Malang.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/16/kompetisi-domino-demokrasi-2026-2-nuklqcfx.webp,2026-05-16
